bookLabel,authorLabel,genreLabel,publisherLabel
The Last Faust,Philipp Humm,science fiction,Unicorn Publishing Group
The Last Faust,Philipp Humm,drama,Unicorn Publishing Group
Victorina o heroísmo del corazón: original novel. Volume I,Concepción Gimeno de Flaquer,facsimile,Asociación General del Arte de Imprimir
Pop Expressionism: Works on Paper by Phillip-Rudolf Humm,Edward Lucie-Smith,biography,Unicorn Publishing Group
Sous le fardeau,J.-H. Rosny,social novel,Plon
"Le Québec, pour quoi faire ?",Pascal Mallet,history book,Éditions Grasset
Let us dream,Pope Francis,essay,Edizioni Piemme
The Public Domain Song Anthology,Chuck Israels,sheet music,Aperio Press
The Public Domain Song Anthology,Chuck Israels,song book,Aperio Press
När människorna kom,Sonja Hulth,children's literature,Rabén & Sjögren
När svenskarna flyttade till stan,Sonja Hulth,children's literature,Rabén & Sjögren
När Sverige var som störst,Sonja Hulth,children's literature,Rabén & Sjögren
"Se där, en stad!",Sonja Hulth,children's literature,Rabén & Sjögren
Thea Bowman: Faithful and Free,Maurice J. Nutt,biography,Liturgical Press
American Salvage,Bonnie Jo Campbell,high literature,Wayne State University Press
"Estoril, los años dorados.",Ricardo Mateos Sáinz de Medrano,history book,La Esfera de los Libros
Gareth Jones: The Man Who Knew Too Much,Mirosław Wlekły,biography,Znak
Amphora. The Porcelain and Ceramics Manufactory in Northern Bohemia,Volker Mölle Riessner,non-fiction literature,Books on Demand
La contessa Lara,Maria Freschi,biography,Fratelli Treves
Su pianeta 'e Supramonte,Peppino Marotto,poetry,Condaghes
The Holy Eye: Ideology in Religions and Television,Julio Escoto,non-fiction,Editorial Universitaria
Consecrated Ground,George Boyd,tragedy,Talonbooks
Vers Tombouctou : L'Afrique des explorateurs II,Anne Hugon,non-fiction,Éditions Gallimard
Women & other animals,Bonnie Jo Campbell,high literature,Simon & Schuster
Q Road,Bonnie Jo Campbell,high literature,Charles Scribner's Sons
"Mothers, tell your daughters.",Bonnie Jo Campbell,high literature,W. W. Norton & Company
Stations,Clare McCallan,poetry,"Blurb, Inc."
Vers Tombouctou : L'Afrique des explorateurs II,Anne Hugon,monograph,Éditions Gallimard
Consecrated Ground,George Boyd,drama fiction,Talonbooks
Neo-Colonialism: The Last Stage of Imperialism,Kwame Nkrumah,non-fiction,Panaf Books
Neo-Colonialism: The Last Stage of Imperialism,Kwame Nkrumah,non-fiction,Brill
Neo-Colonialism: The Last Stage of Imperialism,Kwame Nkrumah,non-fiction,Thomas Nelson and Sons Ltd
Neo-Colonialism: The Last Stage of Imperialism,Kwame Nkrumah,non-fiction,Présence Africaine
Neo-Colonialism: The Last Stage of Imperialism,Kwame Nkrumah,non-fiction,International Publishers
"Irene, mijn grootmoeder. De neergang van een Weens-Joodse familie",Paul Hellmann,biography,Atlas Contact
Bacchae of Euripides: a communion rite.,Wole Soyinka,The Tragedies of Euripides,W. W. Norton & Company
Bacchae of Euripides: a communion rite.,Wole Soyinka,The Tragedies of Euripides,Methuen Publishing
Tamil Chamugathil Vaimolik kathaikal,Stephen. G,folklore,Pavai Publications
Madmen and specialists: a play,Wole Soyinka,drama,Hill & Wang
Madmen and specialists: a play,Wole Soyinka,drama,"Farrar, Straus and Giroux"
Stations,Clare McCallan,visual arts,"Blurb, Inc."
WORD ROW,Noam Dovev,poetry,gnat
Sir Gawain and the Green Knight,J. R. R. Tolkien,essay,Clarendon Press
Nonna and the Girls Next Door,Gianna Patriarca,children's literature,Lyricalmyrical Press
"Criminals, idiots, women and minors",Frances Power Cobbe,essay,A. Ireland and Co.
28 000 km pour une orchidée,Georges Jougla,narrative,Fournel Editions
"Golden Gulag: Prisons, Surplus, Crisis, and Opposition in Globalizing California",Ruth Wilson Gilmore,non-fiction,University of California Press
The grasshoppers (Acrididae) of New Zealand : Their taxonomy and distribution.,Robert Sidney Bigelow,natural science,University of Canterbury
"Who's in Charge? Leadership During Epidemics, Bioterror, Attacks, and Other Public Health Crises",Laura H Kahn,public health,Greenwood Publishing Group
Klinická neurologie část speciální,Josef Bednařík,scientific publication,Triton
Klinická neurologie část speciální,Evžen Růžička,scientific publication,Triton
Klinická neurologie část speciální,Zdeněk Ambler,scientific publication,Triton
Le Prieuré Notre-Dame-du-Val-Paradis: mille ans d’histoire à Espagnac-Sainte-Eulalie,Christian Thiry,history book,Edicausse
Feuilles de Momidzi,Léon de Rosny,essay,Ernest Leroux
Feuilles de Momidzi,Léon de Rosny,non-fiction,Ernest Leroux
mʿǧm mṣṭlḥāt al-ʿlāqāt al-ʿāmẗ,Bassām Mashāqibah,bilingual dictionary,Dār Usāmah lil-Nashr wa-al-Tawzīʻ
mʿǧm mṣṭlḥāt al-ʿlāqāt al-ʿāmẗ,Bassām Mashāqibah,bilingual dictionary,Nubalāʼ Nāshirūn wa-Muwazziʻūn
Salvatore Garau. Change in black and white; accompanied by a little water and a little silver,Salvatore Garau,black-and-white,Corraini edizioni
Salvatore Garau. Change in black and white; accompanied by a little water and a little silver,Salvatore Garau,contemporary art,Corraini edizioni
Salvatore Garau Red Wagner,Lóránd Hegyi,art,Corraini edizioni
Lost spy and the green dress,Alex Paz-Goldman,detective fiction,Kinneret Zmora-Bitan Dvir
Salvatore Garau 1993/2015 Papers and canvases,Lóránd Hegyi,contemporary art,embassy of Italy in Brazil
Salvatore Garau 1993/2015 Papers and canvases,Lóránd Hegyi,contemporary art,National Museum of the Brazilian Republic
Salvatore Garau Red Wagner,Lóránd Hegyi,contemporary art,Corraini edizioni
Mummers in Mufti,Philip Everett Curtiss,mystery fiction,The Century Company
Mummers in Mufti,Philip Everett Curtiss,romance,The Century Company
Nesivos HaMishpat,Yaakov Lorberbaum,Halakha,Zhovkva
Monumental mountaintops,Carl C. Fickenscher II,devotional literature,Concordia Publishing House
Witness: we share our faith,Klaus Detlev Schulz,devotional literature,Concordia Publishing House
Sign Language Dictionary,mḥmd ʿlī kāml,sign language dictionary,Dār al-Ṭalāʼiʻ lil-Nashr wa-al-Tawzīʻ
Sign Language Dictionary,mḥmd ʿlī kāml,bilingual dictionary,Dār al-Ṭalāʼiʻ lil-Nashr wa-al-Tawzīʻ
Dictionary of disaster and emergency termminology,Ibrahim El-Tikaina,bilingual dictionary,Naif Arab University for Security Sciences
Concise German-Arabic dictionary,Ernst Harder,bilingual dictionary,Carl Winter's Universiy library
qāmūs ʿrbī aḏrī,Rafik Aliyev,bilingual dictionary,Sharg-Garb
Lost spy and the green dress,Alex Paz-Goldman,young adult literature,Kinneret Zmora-Bitan Dvir
An Unfinished Dream: A Chronicle of the Group Plan of The Claremont Colleges,Robert J. Bernard,history book,Claremont Colleges
La IIIe révolution dite française,Philippe Ploncard d'Assac,essay,Société de Philosophie Politique
March Book One,Andrew Aydin,autobiography,Top Shelf Productions
March Book Three,Andrew Aydin,autobiography,Top Shelf Productions
March Book Two,Andrew Aydin,autobiography,Top Shelf Productions
"La politique québécoise: élections, scandales et réformes - 1950-1990",Jean-Charles Panneton,essay,Éditions du Septentrion
La Danse 1/ Du ballet de cour au ballet blanc,Jean-Pierre Pastori,monograph,Éditions Gallimard
La Danse 1/ Du ballet de cour au ballet blanc,Jean-Pierre Pastori,non-fiction,Éditions Gallimard
A Dictionary of Arabic Grammar from the Holy Quran,"Daḥdāḥ, Anṭwān",non-fiction,Dār Al-Kitāb Al-Aʿrabī
March Book One,John Lewis,autobiography,Top Shelf Productions
March Book Three,John Lewis,autobiography,Top Shelf Productions
March Book Two,John Lewis,autobiography,Top Shelf Productions
L'apocalypse durable,Fred Dubé,polemical lampoon,Lux Éditeur
Une pipée d'opium pour les enfants,Fred Dubé,polemical lampoon,Lux Éditeur
Cajarc en Quercy : un village occitan à l'épreuve de l'Histoire,Bernard Connac,history book,Toute latitude
March Book One,John Lewis,memoir,Top Shelf Productions
March Book Three,John Lewis,memoir,Top Shelf Productions
March Book Two,John Lewis,memoir,Top Shelf Productions
From Alchemy to Quarks The Study of Physics as a Liberal Art),Sheldon Glashow,popular science literature,Brooks/Cole Publishing
The birth of complexity,Alexander Markov,natural science,2011
L'apocalypse durable,Fred Dubé,essay,Lux Éditeur
"La politique québécoise: élections, scandales et réformes - 1950-1990",Jean-Charles Panneton,non-fiction,Éditions du Septentrion
HRABI Duszkiem tak!,Dariusz Kamys,biography,Wydawnictwo Otwarte
From Scratch,Tembi Locke,memoir,Simon & Schuster
"Aimé Césaire's African Theater: Of Poets, Prophets, and Politicians",Femi Ojo Ade,essay,Africa World Press
